sourcefiles/js/at.js: line 61, col 14, 'x' is already defined.
sourcefiles/js/at.js: line 63, col 13, 'sx' is already defined.
sourcefiles/js/at.js: line 177, col 13, '_datea' is already defined.
sourcefiles/js/at.js: line 178, col 13, '_da' is already defined.
sourcefiles/js/at.js: line 295, col 12, ['Save'] is better written in dot notation.
sourcefiles/js/at.js: line 296, col 12, ['Cancel'] is better written in dot notation.
sourcefiles/js/at.js: line 391, col 23, ['tags'] is better written in dot notation.
sourcefiles/js/at.js: line 544, col 9, '_b' is already defined.
sourcefiles/js/at.js: line 1052, col 21, '_h' is already defined.
sourcefiles/js/at.js: line 1053, col 21, '_m' is already defined.
sourcefiles/js/at.js: line 1168, col 37, Missing semicolon.
sourcefiles/js/at.js: line 1215, col 22, Missing semicolon.

sourcefiles/js/bqe.js: line 181, col 37, ['satellites'] is better written in dot notation.
sourcefiles/js/bqe.js: line 183, col 43, ['service'] is better written in dot notation.
sourcefiles/js/bqe.js: line 184, col 43, ['name'] is better written in dot notation.
sourcefiles/js/bqe.js: line 210, col 37, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 212, col 43, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 213, col 43, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 238, col 53, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 239, col 56, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 249, col 35, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 250, col 35, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 251, col 35, ['provider'] is better written in dot notation.
sourcefiles/js/bqe.js: line 278, col 37, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 280, col 54, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 280, col 81, ['startpos'] is better written in dot notation.
sourcefiles/js/bqe.js: line 281, col 43, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 282, col 43, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 306, col 53, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 307, col 56, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 328, col 37, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 330, col 43, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 331, col 41, ['ismarker'] is better written in dot notation.
sourcefiles/js/bqe.js: line 332, col 41, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 333, col 49, ['pos'] is better written in dot notation.
sourcefiles/js/bqe.js: line 334, col 35, ['ismarker'] is better written in dot notation.
sourcefiles/js/bqe.js: line 341, col 54, ['ismarker'] is better written in dot notation.
sourcefiles/js/bqe.js: line 654, col 35, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 657, col 45, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 658, col 49, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 659, col 41, ['provider'] is better written in dot notation.

sourcefiles/js/openwebif.js: line 657, col 44, ['disabled'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 746, col 16, You might be leaking a variable (current_ref) here.
sourcefiles/js/openwebif.js: line 746, col 40, ['currservice_serviceref'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 747, col 19, You might be leaking a variable (current_name) here.
sourcefiles/js/openwebif.js: line 747, col 44, ['currservice_station'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 754, col 44, ['currservice_begin'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 754, col 86, ['currservice_end'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 757, col 27, ['transcoding'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 764, col 227, ['currservice_fulldescription'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 764, col 278, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 768, col 230, ['currservice_fulldescription'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 768, col 281, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 770, col 27, ['transcoding'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 771, col 74, ['currservice_filename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 772, col 76, ['currservice_filename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 774, col 84, ['currservice_filename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 777, col 59, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 779, col 50, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 781, col 41, ['currservice_description'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 797, col 48, ['volume'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 798, col 36, ['volume'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 803, col 23, ['muted'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 815, col 23, ['inStandby'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 821, col 23, ['isRecording'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 822, col 138, ['Recording_list'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 828, col 23, ['inStandby'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 873, col 50, ['message'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 900, col 50, ['message'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1056, col 18, 'id' is already defined.
sourcefiles/js/openwebif.js: line 1730, col 91, Missing semicolon.
sourcefiles/js/openwebif.js: line 1773, col 29, ['sref'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1775, col 47, ['begin'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1776, col 47, ['end'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2032, col 22, ['servicereference'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2033, col 23, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2034, col 77, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2035, col 24, ['subservices'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2038, col 26, ['servicereference'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2042, col 69, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2044, col 69, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2046, col 89, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2084, col 25, ['services'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2096, col 27, ['services'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 2113, col 7, Missing semicolon.

85 errors
